"","Choline*","Serine","Diethanolamine*","Hypotaurine","Cytosine","Creatinine","Proline","Succinate","Guanidinoacetate","Betaine","Threonine","Taurine","Pipecolate*","Creatine","Leucine","Malate","Ureidopropionic acid*","L-(-)-Asparagine","DL-Ornithine","aspartic acid dianion","Adenine","D-erythronic acid","Hypoxanthine","1-methylnicotinamide","Trigonelline*","Urocanate*","O-Phosphorylethanolamine*","Proline Betaine","alpha-Ketoglutaric acid","Glutamine","g-Butyrobetaine*","D-2-Hydroxyglutaric acid","L-Pyroglutamic acid*","DL-Lysine","Nudifloramide*","Imidazolelactic acid*","Indole-3-acetaldehyde*","N6-METHYLLYSINE","Aminoadipate","N-Methylglutamate*","L-Cartinine","Phenylalanine","DL-Methionine Sulfoxide","7-Methylguanine*","Uric acid","Guanidinoethyl sulfonate*","Pyridoxal*","3-Methylhistidine","aconitate","Î²-Glycerophosphate*","N-Acetylasparagine","N-Acetylornithine*","Citrulline","Inositol*","Mannitol","Methionine sulfone","Phosphorylcholine","N-Alpha-Acetyllysine","N6-Acetyllysine","Homo-L-arginine","L-Targinine*","beta-Asp-Gly","Glycyl-Aspartate (RT = 9.466)","D-gluconate anion","Tryptophan","N,N-dimethylarginine","Acetylcarnitine","gamma-Glutamylglycine","Phosphocreatine","Acetylarginine*","Ala-Gln*","propionylcarnitine","Pantothenate (RT = 2.976)","Carnosine","Ergothioneine","Isobutyrylcarnitine","Cystine*","Anserine","Uridine","Cytidine","Tiglylcarnitine (RT = 2.835)","Isovalerylcarnitine","Malonyl-L-carnitine","g-Glutamylcysteine*","5'-Deoxyadenosine","Choline Alfoscerate","Glucosamine 6-phosphate*","Hexanoylcarnitine (RT = 2.766)","fructose 6-phosphate","Succinylcarnitine","Thiamine","Adenosine","Inosine (RT = 4.831)","gamma-Glu-gln","saccharopine","1-Methyladenosine*","Guanosine","Argininosuccinate","Methylthioadenosine (RT = 2.546)","N-Acetylaspartylglutamate*","Glutathione Reduced","N-Acetylneuraminate","Decanoylcarnitine (RT = 2.603)","cytidine 5′-monophosphate","UMP","Nicotinamide Mononucleotide","Lauroylcarnitine*","Adenosine monophosphate","Inosinic acid","3-Hydroxydodecanoylcarnitine (RT = 2.765)","Guanosine monophosphate","S-Adenosylhomocysteine","Deoxycholic acid*","S-Adenosyl-L-methionine","UDP*","3-hydroxyhexadecanoylcarnitine","Cocarboxylase*","adenosine 3',5'-bisphosphate","Guanosine 5'-diphosphate (GDP)*","CDP-ethanolamine","Citicoline","Maltotriose*","Adenosine triphosphate (ATP)","Cyclic ADP-ribose","Adenosine diphosphate ribose","Uridine diphosphategalactose","GDP-Fucose*","GDP-Mannose","Uridine diphosphate-N-acetylgalactosamine","Oxidized Glutathione","CMP-N-Acetylneuraminate","NADH","Maltotetraose*","Nicotinamide adenine dinucleotide phosphate (NADP+)","NADPH","Glycolate*","Coenzyme A","FAD*","Acetyl-Coa*","lactate anion*","Alanine","Beta-Alanine","Sarcosine"
"MSJ01_HG_010_b",496402683.59049,31033242.8319062,479324868.017429,16033435.3541645,36073882.5422509,960793489.138106,1127384181.04014,76589503.0247019,87418272.0552534,4868245416.99311,122587808.429841,2932426344.37033,32839546.3542439,29141837127.1677,300764985.862043,458433798.640436,20005.0517182604,35741242.0085408,13298392.0434287,112738918.693354,132459974.612389,462877398.91957,149796384.520327,20005.0517182604,8637710.53148706,27985219.6624214,66603218.2371978,443070783.027175,33869494.3766369,656917601.432259,470891364.364433,56053322.4182717,20005.0517182604,124600684.758002,20005.0517182604,203451412.868092,20005.0517182604,5774334.79275072,6120761.85981659,23625737.1242952,14417464864.4461,36678362.7163285,12185054.2468465,15113979.2244039,70832713.3960894,20005.0517182604,538203.749674445,228568483.590731,55236420.0837705,34077551.2908681,6039894.93071486,121758902.744291,204475919.418096,172370337.344333,317492069.940118,5021166.56851797,1435185902.9735,17168551.5781482,10459287.2787344,3919892.31240062,5651784.45248938,13159272.1430962,1290154.20590307,116544073.736098,55281872.986649,40794886.2474684,7574228804.82804,3130637.17293513,635219057.644166,9005505.54417661,4095871.53898564,222971739.417074,834133410.393948,869959482.084813,20005.0517182604,56125159.2345633,20005.0517182604,155950700.127399,86363895.6737896,79124393.3780865,2770614.75924845,27792599.942818,27402281.2753831,16806215.6534336,2285804.43549701,478076102.576485,20005.0517182604,4356730.2976543,7546372.50121242,504592041.205788,2192122.91025565,4523994724.36206,299974028.125559,24143118.7108488,16043058.7180853,10412542.8105962,12819098.4654624,1620350.60701285,4120476.79447167,3345188.89311525,2333150423.53876,30836215.7446503,20005.0517182604,8173000.21353963,6974135.98810209,9193759.70841368,1797746.52177968,866945373.576961,10500472.3382341,20005.0517182604,9380107.38778592,7282125.16897226,20005.0517182604,148361546.417497,9128516.81825272,2079749.67216095,9971923.06477933,124070019.765551,2655232.64888364,13959139.7168041,42556456.8190896,1675607.53782019,52783533.326148,4925442.37950975,13727616.6425351,10588388.8721039,586959.286587398,994118.55341186,16695411.5830894,28265772.4337857,1791781.06378097,15844443.4137302,3203762.77134645,5318574.6961768,2984812.22119031,1937878597.9857,6389126.100203,13577480.1927494,4227147.0709271,1607842944.2989,244763362.342083,39038228.1879164,21781653.080914
"MSJ01_HG_019_b",494979694.501201,105036471.788525,324730886.641767,50490665.5705047,44614141.2714932,1194966186.6213,1291769858.32383,113371504.505538,92692717.9101929,8259638806.27365,207038265.173902,3949139772.0285,64051158.2588704,36735789149.4181,763268670.147156,566314431.480702,20652.3109888152,52233795.4968777,24289422.2809975,126780235.684236,170637173.406689,249278254.827405,91902952.2885169,20652.3109888152,16275288.8908753,21392363.2722434,75847888.9208353,329854886.711586,55002048.4804821,1034987221.28903,637299106.11387,20652.3109888152,20652.3109888152,217716043.054458,20652.3109888152,175012630.307135,20652.3109888152,6976721.58343116,10182763.407962,308313772.128408,30846057072.2027,20652.3109888152,15015301.211532,18869463.2694333,84571400.9314072,20652.3109888152,790734.291467319,214366842.205568,77052253.0076764,52556976.6783298,7885289.38628437,225741422.956423,252324385.692666,217893728.060148,310497093.581711,7574971.25407046,2412117121.3953,42632068.4119695,13009499.1180815,4955096.56171067,9480664.94120043,15649309.3771487,20652.3109888152,107957293.435536,91403044.4843056,55679575.791224,11873660467.6583,3966037.33307931,2468218443.02938,10492364.4107596,20652.3109888152,308023568.888695,2453596587.73214,808750518.088277,20652.3109888152,98228492.7464478,224798.905670936,221277987.362505,72403573.4222029,104917666.337477,6003323.9387031,93041316.1741865,41939005.168026,11194857.1517258,3706402.35842814,559145478.392143,20652.3109888152,2757517.5501529,11764690.1682783,1051312857.74573,1855180.28155752,4437654061.38181,253112996.978791,14051834.6882786,19180508.7562404,15288716.181603,9722677.98555244,2174685.77076027,10827529.465781,1361558.13094533,3238338348.07537,28053260.9982116,20652.3109888152,10233588.2248279,7459967.81586664,3741635.08095263,20652.3109888152,1136942743.07038,7681317.26840006,20652.3109888152,12938774.0896551,7139945.17292284,12885659.2351567,275635726.427798,18664628.5478062,9808626.05430678,21644004.9668577,204560046.811211,20652.3109888152,21135547.4555408,20652.3109888152,458732.256080499,176494209.916954,11862267.7099914,12203860.5962429,21391054.6703271,1250729.59286582,886250.352408251,26613442.4625842,14570806.9008387,3294570.20319478,119254452.68074,2018079.91260295,20652.3109888152,3752018.09207755,2107206748.24818,18433063.2332953,28958925.2533579,2872435.55650872,2092817425.86609,332567206.4532,61764242.2465495,20652.3109888152
"MSJ01_HG_003",862449685.908071,45855553.491258,256003815.408212,30098846.5924874,75225523.3118819,879061923.899779,917249958.955225,166123881.544599,94848273.8991986,4589457345.88519,96295700.2901234,3445870933.03462,35635565.3312304,34913448544.7897,736043576.812803,697113377.071164,21074.2431391714,54212107.7304513,10562844.6088632,304570076.692614,393024435.697803,253329028.528469,373789189.734724,21074.2431391714,8218473.65119154,35263307.4649242,58843534.0534677,597820398.796337,7259995.28981061,1039822772.14347,573638085.809871,39875416.7220213,7081222130.36152,255626434.627724,284655.915178892,117179185.163371,21074.2431391714,5500974.75228904,10548426.6106511,48200072.8035385,11439494967.7137,30690688.5708693,12029864.7155055,15455766.4907971,145499717.624498,13116973.4922751,840723.170131968,223845156.827572,21074.2431391714,79865075.8202343,6266466.40380664,173222647.017182,219767462.820871,116402648.494573,117818734.014663,21074.2431391714,1989210690.72854,28254499.0799776,19911153.0956098,9634967.34244144,7740031.91505062,20111865.8070497,1718546.8705637,97678695.1508409,45471598.9712676,53972355.9361748,17000477830.3091,21074.2431391714,583474772.235174,10767312.3791541,21074.2431391714,240134946.896208,1339151529.34543,1175599300.68547,21074.2431391714,335058460.409416,514479.535561748,138577594.295963,195769416.382478,178170476.659873,5039083.82435321,42100830.992722,27840456.4648319,14948886.8264462,6096449.76860519,607620553.115921,21074.2431391714,14718670.9936353,13051056.0094105,774761313.045915,1963384.9364289,8745400463.88922,652918367.146941,40984841.5452978,60874714.1830119,11869210.1513808,26074229.5449068,3617913.17983436,11302758.8531468,945602.597878653,2670516478.44181,12030449.8339617,10436335.4870279,8851549.39458989,7780508.27675437,4589367.16403948,12042538.5960951,1627282217.9365,37575661.9098545,21074.2431391714,23202368.0407033,13674739.3220287,12901506.9227018,178511389.669442,16811984.9247774,16037589.2806189,14888483.6919032,219260910.747626,2767856.94078658,14584222.9667118,45608588.6793666,2423218.06263013,139495282.200612,11235745.3839857,29425140.7940399,20551178.9494689,1551796.79119507,879770.60353982,24210662.5729249,21074.2431391714,2512013.67484284,61103691.8669733,4428078.44145007,12267983.6196553,3397534.70916688,2168347009.89763,8821339.16696565,42034299.2755216,5044012.34007719,4710329271.21005,321867377.320116,49837687.2493498,17490787.7143705
"MSJ01_HG_008_b",423572586.620372,108710226.582433,514989418.631257,17624105.4764219,34596136.849826,868943032.865632,1447805864.69665,87807450.5763707,104130607.276741,5303264106.38144,205593279.113619,2568483204.32556,33471674.9303799,26801460926.8972,310925709.854649,723103517.363116,19365.6912300549,44585104.5068086,24597102.1831336,236151451.116058,216801199.185863,469537657.013736,164221630.299286,19365.6912300549,7584186.89087208,29909773.9892437,106028028.097169,449720271.042368,22431782.615753,678454634.233506,407421171.85702,19365.6912300549,19365.6912300549,170959833.485727,106759.983114728,89107666.2047778,4078816.9111415,5647745.8339603,9206041.95632856,21587350.0999541,13873729168.1605,19365.6912300549,12708504.0098695,15362656.0081732,189274553.889907,16371560.8554009,640836.313127048,233824721.963341,57507913.1344734,32993970.6694068,7437834.66878153,110448687.901089,243348586.076878,200710536.821129,497425094.858776,19365.6912300549,1446016816.13132,28632814.0560848,10851857.0205377,4603382.23926581,7292355.12578022,14264565.7040179,1386202.72833525,175179984.08593,62994680.410869,52616895.0989523,10431609853.3663,2985259.69304073,807531557.805381,15530571.479461,4499612.23779305,246147557.652906,1291035612.93022,878276624.695808,19365.6912300549,85434366.696264,817971.907258288,187507812.880826,109418089.985211,100240219.600393,4154153.35023275,56812356.4906288,29858405.6630629,20945830.6860995,19365.6912300549,633192980.194308,19365.6912300549,5779095.93302493,8572206.49505375,427400436.87685,2789180.96729116,5271865958.59496,323885452.596304,33666322.0060569,11952071.4982169,14597108.909474,15571726.2065598,3446595.90807329,4399533.71972954,1919082.94202156,2600245838.27481,24023096.8799416,1857599.93306368,7104193.03249575,6006565.48347591,6769019.70920619,2863759.55833857,874070634.371017,16026206.1375807,19365.6912300549,11867419.5013106,10043910.9983207,20706658.9720474,145403175.671419,11316711.6173318,3729978.35533776,7987287.52949284,115186807.656652,1931318.94162176,14358196.2558381,40528168.5531024,1635604.42680203,66526509.5642028,6406707.64683688,10791251.5637243,12363174.756868,896739.633198675,761184.662492466,21737053.6444473,19365.6912300549,2466927.0742764,20867179.859944,3014496.01591866,10304941.6907268,1274693.76036058,1899394213.46768,2266047.7639667,13850375.4588069,19365.6912300549,3041680818.9639,364235101.79203,65655741.0320365,16913797.95262
"MSJ01_HG_014",445518826.977561,146710720.006878,392156731.118543,26913535.6927416,26945774.7583846,908842803.976171,1005754886.43293,92016771.6289448,66503645.4404893,4127603156.74978,152787594.691341,3036611597.88723,34037873.8221494,31853940662.1862,518143531.609704,739198323.150385,20363.0809288118,67795853.1662964,11091468.1450957,142938346.64503,134830602.832101,190142628.064951,135916483.442633,20363.0809288118,11377821.4122847,12610947.4985309,62141031.0748511,505235313.827919,20346552.0496495,993076883.566946,381997327.765101,54519367.5243099,20363.0809288118,175643438.309106,20363.0809288118,124185139.878678,20363.0809288118,6895400.30442351,8614987.19685227,37823509.3647534,14799568741.1231,41483700.6920475,12075691.9324471,14681458.1911848,81083839.2151318,20363.0809288118,718085.114669392,221548790.643738,101782125.1166,31269752.6996254,4532013.17847933,176481545.460602,196630864.138355,126769592.106303,277586577.106035,4344480.48032053,876381223.516091,27928688.4728796,17007481.0753119,4412106.21648116,6412952.38392576,12995367.6156768,1642585.50170119,64722750.9811688,46493396.4716005,51329461.7490917,13458743714.2528,3904059.07404578,2029087088.96714,9166676.53668417,4624327.02869979,269689132.786973,1240966014.33778,1390790851.21485,20363.0809288118,118466702.402791,20363.0809288118,155017738.415463,87777318.3609522,63857453.290786,4069626.52579688,37815741.9225086,25578867.9436714,7904769.73917241,2326713.34035971,513939254.639123,20363.0809288118,4434702.43844264,7969893.42617301,759774486.756551,1614178.95815239,3705004228.27873,212661332.652375,21759501.8758118,14776359.5350946,9324266.68961982,7230144.87948907,2115424.61316283,10713248.6920168,1613786.11241128,2686351819.2285,18060166.5151564,20363.0809288118,8489437.73638905,5891575.65911534,3738152.97663602,1324659.02382211,954188650.540691,12347387.9705227,20363.0809288118,11304423.0599212,6529292.50401028,20363.0809288118,218101714.322971,15746680.2692525,2248786.86200012,15025849.6840131,209739531.16472,2887876.89387797,15561212.7249812,32520025.4269071,802739.703537644,253553654.240423,13090090.5003611,25581997.0382646,17404487.5570998,1681588.9107024,1004641.88473508,22773026.9175258,17715172.7951272,3161141.20307964,50571887.4418233,2187934.39065817,15554962.9881108,4165694.21272167,2059305133.8958,13641173.9185634,44568571.4492199,7045981.14264372,1732963359.44989,305102671.805472,46466573.9735744,24189871.9930956
"MSJ01_HG_002_b",403405604.592056,44847579.7849646,586847271.5433,31528895.3035409,22525724.8469749,1389975207.03165,1270811897.29482,48517730.7684003,110096571.94308,7976018912.71795,108223304.351077,3727420324.86478,27107463.2402354,24989479101.402,809471479.091806,588633816.201534,18513.5420907831,39975882.3866599,18718994.9885896,78888137.9424649,222639192.491673,518913632.536927,90759340.6046363,18513.5420907831,13298407.9961201,16284178.2428381,77107955.9768685,377557475.394286,69486913.938782,1120405690.1872,1151161489.76467,18513.5420907831,18513.5420907831,198679397.246987,230674.009808329,258891973.580315,4761751.40705515,6711859.60343654,9138226.00337909,28052135.3244018,24661751571.3032,18513.5420907831,13526470.704511,23788073.2952882,107411335.993944,22004749.260993,612637.572056663,378573524.43626,67020187.8326831,26833436.7660898,5235178.55647057,140569295.389947,196260182.034706,205156060.878971,189190743.372839,18513.5420907831,1498073503.19988,19272731.4517773,11579668.3731796,7297864.93996878,6971469.38667198,14859180.585082,1403926.91432542,122986708.826571,41521684.9639768,63164658.8564939,9474932210.52062,2412515.1885048,2585699642.22165,11675983.6332776,7265727.34971079,204216642.235872,1091765463.40372,1405328692.96375,18513.5420907831,67110432.7041156,781978.662894414,249293246.944679,43788683.8578474,49950848.9628597,4907469.21438692,67053148.7485056,37672573.0492718,10983988.1243181,18513.5420907831,867795164.139781,18513.5420907831,4401987.48830756,7475343.76446585,966326289.461509,3759838.32863391,2880615198.16948,212349580.099338,17370238.4408312,9222528.62268729,12239269.5009232,12047194.6192205,1618515.67871465,6128126.70452224,2135509.52359752,2615989196.65196,16652146.6712225,1630565.64173452,5514040.34439444,7602412.83989121,8770235.75218298,2274640.2735184,318668783.568981,6404416.01420455,18513.5420907831,4301238.82416971,7574547.19069709,12825879.0616722,174853086.245507,9802093.86518149,4121403.44836591,15693146.2928218,66000279.0457443,2131783.45862319,14056242.7345733,54199968.676823,1173046.08953444,100684686.850489,8840643.487837,6398272.94438509,12373795.3341186,739237.055102073,652542.975450837,16681360.5027279,18513.5420907831,1674234.71701481,14258546.5704868,2502829.83990608,9851493.00729582,845239.102887899,1860167973.54168,3053565.84925058,21265983.5982589,18513.5420907831,2736971187.64991,275926807.006986,61841261.2587925,5093098.4520751
"MSJ01_HG_007",517221930.26944,46923152.1272916,346339603.820973,28262131.1066155,88028829.1192565,1064831941.45172,1178642007.53905,445492400.276222,86595515.596606,5185848707.92726,135731727.82923,3388420200.74335,36101943.9932705,33316536182.3064,622259047.992169,1185545909.42579,19380.9165298889,40006038.0250021,18725704.127637,123437390.126969,261392503.681438,319560195.255087,467737006.242216,19380.9165298889,6657884.56601423,48495711.2869202,58219440.4807177,470902202.427867,8777689.29886392,820804553.014305,542098130.627385,58480864.0599321,5894815899.9951,145185356.66439,276562.135001679,109039368.584058,19380.9165298889,5353138.43233007,7376880.17182933,30044601.3438584,12062686799.9008,28224675.4727448,11826266.4920721,15662617.3552429,120547019.85836,10547083.338559,773170.617680929,255331831.532522,19380.9165298889,193108796.956604,7353761.74009703,136745696.800719,180507814.90189,144008579.402329,516933695.462481,19380.9165298889,1356445244.24951,21089352.273099,14090239.1413824,6003964.05902421,6943681.89994518,18494639.7176428,1360927.31545184,106588065.034262,41817931.8859927,51537238.1292038,16178363485.492,19380.9165298889,445646567.328316,10342986.1766854,19380.9165298889,323138390.641707,1446210149.0338,1002371040.81457,19380.9165298889,471897408.103338,921480.197673491,227940675.5831,181719294.931644,198933616.597749,5972643.74795309,41609839.4707216,39390786.1370615,32861527.9566661,4034370.92115594,450982935.645868,19380.9165298889,14792080.5171373,10475029.7060175,676594159.559858,1879815.13817739,6010816487.89626,735859792.108849,22861554.0183806,19986352.0877004,10843506.8348384,25066170.5127321,6705949.14462593,12480321.7611809,1693958.39463218,2802535744.29324,14458476.7095057,12337228.2488559,10938827.449605,8903199.61394679,4609046.65408421,25467848.6910498,1700864189.6588,23334067.4596452,19380.9165298889,22603918.5827503,15185696.5751806,15149682.5654172,191368675.96472,15013028.3834197,9530086.49284268,14886472.1143,249914315.393758,4899215.27940753,19559405.2780754,54816285.3712566,2164968.48068208,212014309.696865,12241052.9565935,31137888.6866246,14207317.226328,2105199.17142764,1784195.53308244,32543379.0412414,19380.9165298889,4190026.1040651,54719499.3858807,3503464.2516541,20008336.9482701,1445270.47101585,1995736046.80733,10546154.6374208,52792885.5845762,5270594.26393251,8088538235.1135,476243501.464951,86121617.0934634,8334508.26784609
"MSJ01_HG_016_b",254443203.439994,43019366.9661017,210593401.232171,25595302.7912024,28379560.077473,582147646.688728,670781060.161461,97706747.2355075,63246277.3082305,3810222195.56082,28846496.8344021,2140525615.4863,12804517.5899812,28380373195.5468,398467455.766116,431176273.635008,19365.6912300549,55998960.7082556,7944612.63403185,92531638.8203417,128226560.211437,228023397.697861,183987825.068819,19365.6912300549,3532169.7883997,8552217.65429311,61540189.938302,163210619.201434,31431247.8659296,560278626.576496,263523275.780591,55684617.0238778,19365.6912300549,52307725.455675,19365.6912300549,92872152.8669973,19365.6912300549,4049823.78321304,3554384.93664166,19997532.2904279,11055644248.1342,16514549.4226032,4313884.48330833,11909437.0975065,97986253.5612669,19365.6912300549,598741.293565291,197317240.38606,76793196.0706706,44184030.4291612,3425687.60660304,60659349.0943705,121346211.208876,124637181.3518,309122912.173045,2409763.64142397,734029865.622438,13328945.7344308,6279187.20863984,4046394.45011049,5471153.69393566,14611788.0679277,1058796.55644144,107853477.889519,33168203.2596429,28612272.0727493,7560332767.10685,3030582.15985785,312846590.176228,8717690.02126014,3964967.6821162,230690811.385024,624698835.584599,1215454081.83914,19365.6912300549,100941171.863284,19365.6912300549,102671148.599157,73451893.1555133,60758019.8356944,2868149.82494695,35963515.7502406,15137799.0055411,7276176.39584046,1850450.80037077,364511190.94702,19365.6912300549,3153532.26166617,6472851.49352715,505743204.269761,2122062.76775533,3707964351.5417,251312567.336479,31166753.4395604,5651918.91586222,6965302.58170997,8486910.83232487,905334.212956334,3185378.4024052,1330042.45634799,1556168131.98265,30309694.6943048,19365.6912300549,7041463.41222204,8581953.67387832,2537768.78044868,1740290.62963692,966048647.244969,8555686.01341939,19365.6912300549,12274927.7400186,5961083.61050887,19365.6912300549,125514766.901465,6760347.24623583,1558294.53495216,7812860.66266952,139740849.430196,2570371.54146947,9559378.3961474,27613274.3991592,1711898.62039596,40717288.280535,4572639.26777324,23223055.069525,7189109.28688975,320417.135699352,962346.572384519,13420936.9025746,4727599.43271626,2194985.71535963,54009883.7209592,3679590.48345597,2915069.26557051,2889417.76653863,1895223694.11777,2314543.97354906,11954943.4529281,4092047.65438735,1823269308.56763,248988383.555188,31430213.3089721,21085512.4988317
"MSJ01_HG_001_b",374632567.79765,36415720.4804795,818113013.759516,25760241.3740283,60203195.6551385,1115625958.35734,1025084998.02699,126918412.458954,92596227.2019832,6551719183.48539,76117836.5015817,3206874847.37823,21536158.29077,29274339517.6563,642245126.940116,585391147.135693,19384.0690987039,36799611.0331733,14189890.5635436,73774965.0818404,372744287.97621,409578979.407346,263054419.821557,19384.0690987039,10134588.4632221,16366714.5768437,56015082.9245895,286013456.365072,6677736.86697091,946338227.958115,876791274.365912,48932795.9127163,6115536513.34951,143743676.603079,276607.121582209,200718120.409965,19384.0690987039,5020406.60022953,5657164.43984047,20069327.4287263,18313243541.3428,21246144.7557644,9596851.34115455,18966662.4012804,120566628.465361,17889335.272708,884692.239442261,328847935.871539,19384.0690987039,67736710.5841852,3997705.70427273,110266236.591933,161870726.262728,141093648.881046,186506342.646261,19384.0690987039,1111259654.10295,14022593.0548266,8133595.76324878,6290569.21774452,6217014.63938077,14957218.289259,1466889.72673836,95726890.343843,40134101.1884836,44421723.7453861,11116503259.7635,19384.0690987039,783983655.717983,10124216.221986,19384.0690987039,318323036.563233,793619819.556557,1251159297.67798,19384.0690987039,78413210.6071049,1370042.38295434,172434238.148082,144329355.870584,135635307.574157,3929803.05564252,44508910.8400745,30468116.955745,12919321.8865809,5900497.76948842,465098442.139683,19384.0690987039,14794486.6495653,17514399.5174698,816904273.712278,2439613.5484922,8241008173.23905,564053147.56827,26659900.498032,10086840.0808191,9490019.84439231,21133842.3591324,1536362.34543832,5980332.93253825,820756.983889108,2145294197.96162,12478938.4111494,9599331.60502381,5922440.31422554,8053941.50648234,6177024.06994342,16754726.2462394,816414478.576562,21935439.8751583,19384.0690987039,12094542.9529668,9962104.38499263,11866793.9823765,149741559.654779,6824483.11845409,510059.615354914,8785414.93993033,104968413.224688,3722942.21230656,11256423.1324027,40074355.6163905,2432529.22180535,59765368.7501886,5301703.66529265,10549377.6500233,8694420.00658928,1496444.00928297,1094194.04574394,14370122.7099572,19384.0690987039,1175402.44210837,30786895.5717927,3169195.90653656,12493192.5727416,2120863.30296632,1675726384.21907,7952255.76053872,16740253.2245727,4084473.77865622,4495483848.93373,298793052.491416,51001556.3011679,12211937.0721389
"MSJ01_HG_013",393673692.104537,136221917.111611,179764867.642041,19467.4512385771,69758896.3540941,762244565.306186,864899585.2149,180539241.647566,49577142.3455977,3936765123.86542,125729304.77566,2784087542.05778,17114276.8764682,30999554963.7817,529196370.559635,707029926.220646,19467.4512385771,51887359.3402051,9866497.94405118,116106712.051719,153039067.957006,380235084.681073,176245604.129665,19467.4512385771,19467.4512385771,19467.4512385771,56259645.0821655,464442429.849209,19467.4512385771,862109898.861775,351382035.563913,54797810.3684932,6184139646.38984,149132517.791461,230289.212684945,128532851.833576,19467.4512385771,10909793.2799548,7329216.82551205,35614637.9670857,11113818355.1797,18116246.3699825,12359667.4814638,13155552.0740808,89315094.7146419,19467.4512385771,746304.178358082,183531506.681342,85469222.0197113,68850829.1763767,19467.4512385771,158292814.692593,191386152.118894,118579789.956425,275877866.060037,19467.4512385771,771032786.394322,25604349.8538961,13813927.7351055,3784850.70812464,6006396.69036488,12629619.8836621,1364058.32263154,19467.4512385771,50192270.6541047,44575136.7073086,14048820868.8778,19467.4512385771,1465306836.97827,7303422.65043395,19467.4512385771,207318357.250719,1095017439.65184,1281731837.91473,19467.4512385771,245785944.067957,632716.206056489,136004096.667121,75393713.34568,124962012.871915,19467.4512385771,71524117.9556756,22056641.4981636,9388533.39999752,2838121.13461136,435943927.094827,19467.4512385771,13094104.3639065,8273080.74591673,657972606.20518,19467.4512385771,3692128611.73102,205999241.166476,15456088.463612,13776838.2072005,9773946.70501927,8387976.98898025,2664192.2920463,12801645.1342305,1300142.31916472,2185421024.43229,15003225.3751839,2879397.83728339,8070164.62368294,5421238.60015806,3999485.36420037,5733755.56819818,874092881.523098,21280138.4033121,2403236.28632492,11488150.0835766,7769281.47254146,4914715.97245114,184788060.105839,13228118.1098875,12004120.3351224,13679294.6919306,207269298.532945,3017723.63103849,14561739.1644281,36091993.9265132,1042240.34626649,247054835.758833,13025166.1380368,23860971.8324449,13797140.9484611,1688281.18828747,19467.4512385771,20520713.5115042,15177213.3440296,3104987.40338221,33713791.0071068,2298620.98596424,16054597.4619388,2646043.87741627,1949800126.62672,7890143.49791358,39155376.179929,5262156.82188091,3690097117.53413,320586452.630973,46883031.3769269,15742599.9948884
"MSJ01_HG_018_b",592785977.254206,42574463.4604647,1177826643.07058,50021140.8038019,61404906.9353016,1045639227.06204,945129302.949244,121794520.769327,87262552.6215583,5207710126.88579,202053299.543677,3990551624.80746,97192334.8424194,33048782645.5666,847668753.789199,771598234.670352,19365.6912300549,57053522.0871165,16802678.0988605,413269129.542148,207258494.791892,334837581.010242,174257482.972584,19365.6912300549,4473453.48540476,30470850.1333075,83414695.1739288,276405698.254322,32696004.0613505,569175746.970741,613948092.266744,19365.6912300549,19365.6912300549,149615122.03319,19365.6912300549,99466283.0051671,19365.6912300549,7141533.45418806,6688371.99853316,35564773.8446095,18372195133.3948,19365.6912300549,17145660.7394217,15310400.5825933,92664162.7496111,19365.6912300549,576327.53009726,268783256.969019,55192532.2553475,45786121.513673,4199564.92769262,103819238.133745,120380307.50677,178097407.077977,150256640.368417,4798488.89052129,3696259696.84399,24570445.2117114,12103996.159318,3210231.2060699,6480586.33744266,21719323.1439383,19365.6912300549,116359820.112728,67485837.0979348,47649784.0844941,17913163988.8563,5317993.97998909,760061393.62053,10664687.6762564,19365.6912300549,323362159.620701,1267763593.78607,666868026.478988,19365.6912300549,176059991.332759,1236776.59724878,241189626.841466,98284224.8064321,133990011.508122,6539783.32563207,118504621.033654,27991148.6587073,10107875.9716539,3200457.12170636,688644577.572103,19365.6912300549,4955073.35919496,11936691.2462002,837196605.065452,1863075.11514145,5422044231.7955,378290191.400793,16716010.033544,13576360.4773622,11202369.0927079,19210873.4510928,1852026.27062757,8971205.65802382,2371988.0847984,3215870616.04121,20248681.8607645,19365.6912300549,11815010.0490406,7421875.03747541,4982404.97014635,19365.6912300549,1145149210.0725,9503356.42032943,19365.6912300549,16687766.3574313,11934855.6924071,13432380.0611605,250557158.634842,15347283.1381026,819060.469927378,16748737.0123352,229208371.198579,19365.6912300549,24873667.5384855,19365.6912300549,387298.355806626,141325481.10755,11095109.4259437,7134124.55986531,17431554.344789,1088024.35468318,797319.837090441,27295602.0346623,13187264.1168811,2641460.19922245,130816497.808745,861031.037533958,19365.6912300549,2162399.35392432,1925825623.82187,10044692.8164333,26360953.9736069,5551344.7241166,2675041870.40801,268635742.643999,43885442.2280619,19365.6912300549
